Time,angle,PWM Volt
3.028,-15.063,1.701
3.031,-14.936,1.689
3.033,-14.779,1.677
3.036,-14.606,1.677
3.038,-14.474,1.701
3.04,-14.389,1.677
3.043,-14.348,1.689
3.045,-14.308,1.701
3.047,-14.285,1.701
3.05,-14.268,1.701
3.052,-14.202,1.677
3.055,-14.095,1.677
3.057,-13.977,1.689
3.059,-13.869,1.701
3.062,-13.711,1.701
3.064,-13.569,1.677
3.066,-13.46,1.701
3.069,-13.383,1.701
3.071,-13.333,1.701
3.074,-13.297,1.701
3.076,-13.284,1.689
3.078,-13.261,1.677
3.081,-13.188,1.689
3.083,-13.076,1.713
3.086,-12.944,1.689
3.088,-12.828,1.677
3.091,-12.679,1.701
3.093,-12.527,1.677
3.095,-12.405,1.689
3.098,-12.312,1.701
3.1,-12.258,1.689
3.109,-12.076,1.701
3.112,-11.982,1.701
3.114,-11.86,1.701
3.117,-11.728,1.689
3.119,-11.61,1.677
3.121,-11.449,1.677
3.124,-11.308,1.689
3.126,-11.203,1.677
3.129,-11.145,1.677
3.131,-11.108,1.689
3.133,-11.094,1.701
3.136,-11.099,1.701
3.138,-11.078,1.701
3.141,-11.011,1.701
3.143,-10.91,1.677
3.145,-10.805,1.677
3.148,-10.709,1.666
3.15,-10.564,1.666
3.152,-10.467,1.689
3.155,-10.397,1.701
3.157,-10.375,1.701
3.16,-10.369,1.689
3.162,-10.364,1.677
3.164,-10.405,1.701
3.167,-10.427,1.701
3.169,-10.4,1.666
3.172,-10.333,1.701
3.174,-10.238,1.701
3.177,-10.156,1.677
3.179,-10.049,1.666
3.181,-9.912,1.689
3.184,-9.786,1.689
3.186,-9.689,1.701
3.188,-9.625,1.677
3.19,-9.588,1.713
3.193,-9.567,1.689
3.195,-9.578,1.701
3.197,-9.621,1.666
3.2,-9.672,1.701
3.202,-9.698,1.701
3.211,-9.591,1.677
3.213,-9.573,1.666
3.216,-9.518,1.677
3.218,-9.442,1.701
3.22,-9.352,1.701
3.223,-9.246,1.689
3.225,-9.135,1.689
3.227,-9.024,1.701
3.23,-8.921,1.677
3.232,-8.837,1.701
3.234,-8.764,1.701
3.236,-8.677,1.677
3.239,-8.553,1.689
3.241,-8.401,1.689
3.243,-8.23,1.724
3.246,-8.069,1.701
3.248,-7.929,1.701
3.25,-7.838,1.689
3.252,-7.783,1.701
3.255,-7.752,1.701
3.257,-7.756,1.701
3.259,-7.803,1.666
3.262,-7.869,1.689
3.264,-7.919,1.701
3.266,-7.953,1.677
3.269,-7.988,1.701
3.271,-8.039,1.666
3.273,-8.099,1.689
3.275,-8.163,1.677
3.278,-8.224,1.701
3.28,-8.255,1.666
3.282,-8.238,1.713
3.284,-8.197,1.666
3.287,-8.136,1.701
3.289,-8.058,1.689
3.291,-7.966,1.689
3.293,-7.867,1.701
3.296,-7.766,1.677
3.298,-7.677,1.701
3.3,-7.606,1.677
3.31,-7.439,1.677
3.312,-7.421,1.677
3.315,-7.435,1.701
3.317,-7.483,1.701
3.319,-7.537,1.666
3.321,-7.578,1.677
3.324,-7.615,1.666
3.326,-7.656,1.677
3.328,-7.693,1.713
3.33,-7.749,1.689
3.333,-7.819,1.689
3.335,-7.917,1.689
3.337,-8.011,1.701
3.34,-8.08,1.677
3.342,-8.105,1.689
3.344,-8.095,1.689
3.346,-8.056,1.701
3.349,-7.997,1.677
3.351,-7.921,1.666
3.353,-7.834,1.677
3.356,-7.736,1.666
3.358,-7.648,1.701
3.36,-7.583,1.689
3.363,-7.531,1.677
3.365,-7.491,1.677
3.367,-7.418,1.677
3.369,-7.31,1.724
3.372,-7.192,1.701
3.374,-7.082,1.689
3.376,-7.001,1.713
3.378,-6.958,1.701
3.381,-6.938,1.689
3.383,-6.95,1.689
3.385,-6.995,1.689
3.388,-7.075,1.701
3.39,-7.16,1.666
3.392,-7.23,1.677
3.395,-7.291,1.701
3.397,-7.351,1.677
3.399,-7.424,1.677
3.401,-7.502,1.677
3.411,-7.405,1.701
3.413,-7.376,1.677
3.415,-7.332,1.689
3.418,-7.298,1.689
3.42,-7.264,1.677
3.422,-7.229,1.689
3.425,-7.18,1.701
3.427,-7.093,1.701
3.429,-6.976,1.677
3.431,-6.85,1.701
3.434,-6.743,1.701
3.436,-6.681,1.701
3.438,-6.648,1.677
3.441,-6.626,1.713
3.443,-6.633,1.701
3.445,-6.674,1.701
3.448,-6.734,1.677
3.45,-6.785,1.701
3.452,-6.82,1.701
3.454,-6.856,1.701
3.457,-6.903,1.701
3.459,-6.961,1.677
3.461,-7.02,1.701
3.463,-7.069,1.677
3.466,-7.085,1.713
3.468,-7.061,1.701
3.47,-7.01,1.701
3.473,-6.946,1.677
3.475,-6.865,1.701
3.477,-6.774,1.701
3.48,-6.672,1.677
3.482,-6.572,1.701
3.484,-6.483,1.677
3.486,-6.4,1.701
3.489,-6.287,1.689
3.491,-6.14,1.701
3.493,-5.986,1.689
3.496,-5.845,1.677
3.498,-5.739,1.701
3.5,-5.651,1.677
3.51,-5.5,1.713
3.512,-5.499,1.677
3.514,-5.508,1.666
3.517,-5.526,1.701
3.519,-5.528,1.677
3.521,-5.498,1.689
3.523,-5.449,1.677
3.526,-5.385,1.677
3.528,-5.308,1.689
3.53,-5.214,1.701
3.532,-5.11,1.701
3.535,-5,1.677
3.537,-4.903,1.701
3.539,-4.817,1.677
3.542,-4.732,1.701
3.544,-4.622,1.677
3.546,-4.486,1.701
3.549,-4.344,1.689
3.551,-4.217,1.701
3.553,-4.119,1.701
3.555,-4.043,1.677
3.558,-3.989,1.701
3.56,-3.966,1.666
3.562,-3.971,1.701
3.565,-3.994,1.677
3.567,-4.02,1.713
3.569,-4.044,1.689
3.572,-4.08,1.701
3.574,-4.134,1.689
3.576,-4.204,1.677
3.578,-4.283,1.689
3.581,-4.347,1.701
3.583,-4.385,1.701
3.585,-4.387,1.677
3.588,-4.368,1.701
3.59,-4.33,1.701
3.592,-4.282,1.713
3.594,-4.22,1.677
3.597,-4.149,1.677
3.599,-4.067,1.701
3.601,-3.986,1.701
3.611,-3.808,1.666
3.613,-3.766,1.677
3.615,-3.75,1.701
3.618,-3.776,1.701
3.62,-3.817,1.689
3.622,-3.859,1.701
3.625,-3.898,1.677
3.627,-3.949,1.713
3.629,-4.015,1.689
3.631,-4.091,1.677
3.634,-4.169,1.677
3.636,-4.234,1.677
3.638,-4.268,1.689
3.641,-4.269,1.677
3.643,-4.246,1.677
3.645,-4.2,1.713
3.647,-4.139,1.701
3.65,-4.064,1.689
3.652,-3.983,1.701
3.654,-3.903,1.666
3.657,-3.835,1.666
3.659,-3.771,1.677
3.661,-3.687,1.689
3.663,-3.576,1.701
3.666,-3.443,1.677
3.668,-3.308,1.701
3.67,-3.19,1.689
3.672,-3.099,1.701
3.675,-3.034,1.689
3.677,-2.993,1.701
3.679,-2.972,1.689
3.682,-2.983,1.701
3.684,-3.019,1.701
3.686,-3.071,1.677
3.689,-3.129,1.713
3.691,-3.183,1.677
3.693,-3.234,1.677
3.695,-3.284,1.713
3.698,-3.354,1.666
3.7,-3.438,1.689
3.709,-3.371,1.677
3.712,-3.372,1.689
3.714,-3.338,1.677
3.716,-3.283,1.689
3.718,-3.223,1.713
3.721,-3.17,1.689
3.723,-3.131,1.701
3.725,-3.091,1.689
3.728,-3.036,1.701
3.73,-2.949,1.666
3.732,-2.843,1.701
3.735,-2.731,1.689
3.737,-2.65,1.701
3.739,-2.596,1.689
3.741,-2.57,1.677
3.744,-2.558,1.701
3.746,-2.566,1.701
3.748,-2.597,1.677
3.751,-2.662,1.701
3.753,-2.735,1.677
3.755,-2.797,1.689
3.757,-2.862,1.689
3.76,-2.927,1.701
3.762,-3.004,1.689
3.764,-3.096,1.701
3.766,-3.194,1.677
3.769,-3.281,1.701
3.771,-3.352,1.677
3.773,-3.387,1.677
3.776,-3.389,1.689
3.778,-3.366,1.677
3.78,-3.328,1.677
3.783,-3.282,1.677
3.785,-3.233,1.666
3.787,-3.176,1.677
3.789,-3.109,1.689
3.792,-3.04,1.701
3.794,-2.968,1.701
3.796,-2.906,1.677
3.799,-2.843,1.677
3.801,-2.77,1.677
3.81,-2.622,1.666
3.813,-2.62,1.677
3.815,-2.646,1.701
3.817,-2.685,1.701
3.819,-2.72,1.677
3.822,-2.752,1.666
3.824,-2.796,1.677
3.826,-2.846,1.666
3.829,-2.902,1.677
3.831,-2.965,1.689
3.833,-3.027,1.701
3.835,-3.089,1.666
3.838,-3.124,1.689
3.84,-3.13,1.701
3.842,-3.114,1.713
3.845,-3.078,1.701
3.847,-3.032,1.677
3.849,-2.974,1.713
3.852,-2.902,1.689
3.854,-2.816,1.677
3.856,-2.726,1.677
3.858,-2.63,1.701
3.861,-2.539,1.689
3.863,-2.458,1.677
3.865,-2.377,1.701
3.868,-2.279,1.677
3.87,-2.155,1.689
3.872,-2.015,1.677
3.875,-1.868,1.701
3.877,-1.715,1.689
3.879,-1.584,1.701
3.881,-1.473,1.701
3.884,-1.389,1.677
3.886,-1.321,1.689
3.888,-1.266,1.677
3.89,-1.236,1.713
3.893,-1.234,1.701
3.895,-1.255,1.689
3.897,-1.285,1.689
3.899,-1.313,1.701
3.902,-1.338,1.689
3.911,-1.229,1.677
3.914,-1.2,1.677
3.916,-1.159,1.677
3.918,-1.1,1.677
3.921,-1.024,1.701
3.923,-0.939,1.701
3.925,-0.864,1.677
3.927,-0.784,1.713
3.93,-0.696,1.689
3.932,-0.583,1.701
3.934,-0.439,1.666
3.937,-0.29,1.701
3.939,-0.149,1.701
3.941,-0.031,1.701
3.943,0.064,1.701
3.945,0.136,1.677
3.948,0.205,1.677
3.95,0.273,1.689
3.952,0.379,1.701
3.954,0.506,1.677
3.956,0.656,1.701
