Time,Angle,PWM_Voltage
4.641,-37.5806495168366,0.126669415354029
4.664,-37.5000454403527,0.127281683320382
4.688,-37.4245575465124,0.127001558702327
4.712,-37.3539073021557,0.126112538159815
4.736,-37.2872581805001,0.125171992424806
4.76,-37.2235363808043,0.124721988126414
4.784,-37.1620257968822,0.125010546363326
4.808,-37.1027238059131,0.125916863180559
4.832,-37.0461339338652,0.127043344123292
4.856,-36.9926243709264,0.127987642560425
4.88,-36.9418602158073,0.128576287995157
4.904,-36.8928236718378,0.128845715769254
4.928,-36.8445897061456,0.128935238136919
4.952,-36.7973950919086,0.129027242003826
4.975,-36.753000498008,0.129315317126003
4.999,-36.7135775039083,0.129970958770232
5.023,-36.67908453037,0.131077638762815
5.118,-36.6452948731851,0.132507813054568
5.142,-36.606130235339,0.133738990091378
5.166,-36.5586569141634,0.133647573671843
5.19,-36.5047844512204,0.130390808466714
5.214,-36.4490974197154,0.12158540063731
5.238,-36.3964225114581,0.105092058481122
5.261,-36.3506753240925,0.08088937152417
5.285,-36.3151962660156,0.0529594167237644
5.309,-36.2940537966646,0.0277818989330597
5.333,-36.2919465141152,0.00989243657911738
5.357,-36.3106063254409,-0.000161550811654171
5.381,-36.3439028109118,-0.00426826401293122
5.405,-36.3776171071961,-0.00481185514604033
5.429,-36.3963642809027,-0.00373791095080463
5.453,-36.3921321195609,-0.00228601684577526
5.477,-36.3671816935364,-0.00106985299173181
5.501,-36.3300860619847,-0.000279140828695358
5.525,-36.2891014297671,0.000122599193879711
5.548,-36.2479066344246,0.000255377455666857
5.572,-36.2059263712194,0.000241299840476283
5.596,-36.1615136759018,0.000170382851080606
5.62,-36.1148914582874,9.50985523066801e-05
5.644,-36.0689992691807,3.82546922690381e-05
5.668,-36.027811657537,4.2609223707386e-06
5.692,-35.9932129817814,-1.123483311714e-05
5.716,-35.962758983466,-1.49673178452457e-05
5.74,-35.9300860941835,-1.27271630278509e-05
5.764,-35.8880438017671,-8.19198073896396e-06
5.788,-35.8333459289753,-2.9971474689037e-06
5.812,-35.7713210704193,2.60856301267136e-06
5.836,-35.7199969362024,8.86873443638607e-06
5.859,-35.7130123018442,1.55091816637383e-05
5.883,-35.7997280730103,2.06580587833912e-05
5.907,-36.038292500819,1.98397852516134e-05
5.931,-36.4740295309874,5.46163438923717e-06
5.955,-37.1100232127956,-3.23724098782307e-05
5.979,-37.9037837005843,-0.000102453210467193
6.003,-38.7951571072762,-0.000205018709433161
6.099,-39.7230918237915,-0.000319373201409347
6.123,-40.6255441461846,-0.000387623442194104
6.146,-41.4535256198825,-0.000299615758106601
6.17,-42.1916568595072,0.000109387270861103
6.194,-42.8535085744268,0.00102865851460113
6.218,-43.4519870929336,0.00258318232174793
6.242,-43.9831432681911,0.00466050659986273
6.266,-44.4440507032371,0.00664649672946498
6.29,-44.854321217476,0.00749892229751074
6.314,-45.2518565250285,0.00664649566598654
6.338,-45.668867752609,0.00466050533716774
6.362,-46.1085264294903,0.00258318269970724
6.386,-46.5396344100241,0.0010286634091451
6.41,-46.9121554567439,0.000109400273715495
